testv3.txt opened
> offset: 6564, typeID: 1, length: 57
> offset: 6624, typeID: 5, length: 20
> offset: 6647, typeID: 17, length: 35
> offset: 6685, typeID: 1, length: 57
> offset: 6745, typeID: 5, length: 20
> offset: 6768, typeID: 1, length: 57
> offset: 6842, typeID: 5, length: 20
> offset: 6865, typeID: 17, length: 35
> offset: 6937, typeID: 9, length: 220
> offset: 6949, typeID: 1, length: 57
> offset: 7000, typeID: 10, length: 180
> offset: 7009, typeID: 3, length: 21
> offset: 7033, typeID: 5, length: 20
> offset: 7056, typeID: 4, length: 17
> offset: 7076, typeID: 1, length: 57
> offset: 7136, typeID: 3, length: 21
> offset: 7160, typeID: 5, length: 20
> offset: 7183, typeID: 17, length: 35
> offset: 7221, typeID: 4, length: 17
> offset: 7241, typeID: 1, length: 57
> offset: 7301, typeID: 3, length: 21
> offset: 7325, typeID: 5, length: 20
> offset: 7348, typeID: 4, length: 17
> offset: 7368, typeID: 1, length: 57
> offset: 7428, typeID: 3, length: 21
> offset: 7452, typeID: 5, length: 20
> offset: 7475, typeID: 17, length: 35
> offset: 7513, typeID: 4, length: 17
> offset: 7533, typeID: 1, length: 57
> offset: 7548, typeID: 10, length: 194
> offset: 7593, typeID: 3, length: 21
> offset: 7617, typeID: 15, length: 74
> offset: 7725, typeID: 4, length: 17
> offset: 7745, typeID: 1, length: 57
> offset: 7805, typeID: 5, length: 20
> offset: 7828, typeID: 3, length: 21
> offset: 7852, typeID: 4, length: 17
> offset: 7872, typeID: 5, length: 20
> offset: 7895, typeID: 17, length: 35
> offset: 7933, typeID: 1, length: 57
> offset: 7993, typeID: 3, length: 21
> offset: 8017, typeID: 8, length: 32
> offset: 8052, typeID: 4, length: 17
> offset: 8072, typeID: 5, length: 20
> offset: 8095, typeID: 1, length: 57
> offset: 8155, typeID: 3, length: 21
> offset: 8179, typeID: 5, length: 20
> offset: 8202, typeID: 17, length: 35
> offset: 8240, typeID: 4, length: 17
> offset: 8260, typeID: 1, length: 57
> offset: 8320, typeID: 3, length: 21
> offset: 8344, typeID: 4, length: 17
> offset: 8364, typeID: 1, length: 57
> offset: 8424, typeID: 3, length: 21
> offset: 8448, typeID: 5, length: 20
> offset: 8484, typeID: 255, length: 4
> offset: 8485, typeID: 4, length: 17
> offset: 8505, typeID: 5, length: 20
> offset: 8528, typeID: 17, length: 35
> offset: 8566, typeID: 1, length: 57
> offset: 8626, typeID: 3, length: 21
> offset: 8696, typeID: 1, length: 57
> offset: 8756, typeID: 3, length: 21
> offset: 8780, typeID: 5, length: 20
> offset: 8803, typeID: 4, length: 17
> offset: 8823, typeID: 1, length: 57
> offset: 8883, typeID: 3, length: 21
> offset: 8907, typeID: 5, length: 20
> offset: 8930, typeID: 17, length: 35
> offset: 8968, typeID: 4, length: 17
> offset: 8988, typeID: 1, length: 57
> offset: 9048, typeID: 3, length: 21
> offset: 9072, typeID: 5, length: 20
> offset: 9095, typeID: 4, length: 17
> offset: 9115, typeID: 1, length: 57
> offset: 9144, typeID: 6, length: 28
> offset: 9168, typeID: 10, length: 28
> offset: 9175, typeID: 3, length: 21
> offset: 9199, typeID: 5, length: 20
> offset: 9222, typeID: 17, length: 35
> offset: 9260, typeID: 15, length: 74
> offset: 9368, typeID: 4, length: 17
> offset: 9388, typeID: 1, length: 57
> offset: 9448, typeID: 3, length: 21
> offset: 9472, typeID: 5, length: 20
> offset: 9495, typeID: 1, length: 57
> offset: 9555, typeID: 3, length: 21
> offset: 9579, typeID: 5, length: 20
> offset: 9602, typeID: 17, length: 35
> offset: 9640, typeID: 8, length: 32
> offset: 9675, typeID: 4, length: 17
> offset: 9695, typeID: 1, length: 57
> offset: 9755, typeID: 3, length: 21
> offset: 9760, typeID: 15, length: 59
> offset: 9771, typeID: 17, length: 132
> offset: 9779, typeID: 5, length: 20
> offset: 9802, typeID: 4, length: 17
> offset: 9822, typeID: 1, length: 57
> offset: 9825, typeID: 7, length: 199
> offset: 9882, typeID: 3, length: 21
> offset: 9906, typeID: 5, length: 20
> offset: 9929, typeID: 17, length: 35
> offset: 9967, typeID: 1, length: 57
